12-05-2022 12:34:17 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:34:56 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:37:04 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:2 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:37:29 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:38:08 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:5 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:39:56 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:4 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:43:57 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:3 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:51:56 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:5 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 12:56:21 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:6 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.54 Safari/537.36 _userID:]
12-05-2022 13:48:20 map[_clientIP:::1 _dataLength:573 _hostname:LAPTOP-P2S904C5 _latency:33 _method:GET _path:/api/v1/music/list _statusCode:200 _userAgent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 _userID:]
